Location,Day,Time,Avg,Max
Hazira,Week,9:00-10:00,68.7,89.8
Hazira,Week,9:00-10:00,66.2,84.3
Hazira,Week,13:00-14:00,73.1,98.2
Hazira,Week,13:00-14:00,66.9,90.1
Hazira,Week,17:00-18:00,85,100.2
Hazira,Week,17:00-18:00,86,93.4
Hazira,Week,21:00-22:00,71.5,93.1
Hazira,Week,21:00-22:00,74,92.8
Hazira,Weekend,9:00-10:00,66.4,90.5
Hazira,Weekend,9:00-10:00,64.7,87.5
Hazira,Weekend,13:00-14:00,76.5,94.4
Hazira,Weekend,13:00-14:00,71,87.8
Hazira,Weekend,17:00-18:00,87.8,104.5
Hazira,Weekend,17:00-18:00,88,97.8
Hazira,Weekend,21:00-22:00,70.9,94.8
Hazira,Weekend,21:00-22:00,65,91.2
AB-Highway,Week,9:00-10:00,66.6,76
AB-Highway,Week,9:00-10:00,59.8,68.9
AB-Highway,Week,13:00-14:00,66.7,70.4
AB-Highway,Week,17:00-18:00,72.4,81.3
AB-Highway,Weekend,13:00-14:00,69.8,74.5
AB-Highway,Weekend,17:00-18:00,69.9,81.7
BH-2,Week,21:00-22:00,75,89.2
BH-2,Weekend,17:00-18:00,73.2,89.8
Near Railway Colony,Weekend,9:00-10:00,65.6,71.8
Near Railway Colony,Weekend,17:00-18:00,65.4,73.1
Near Railway Colony,Weekend,21:00-22:00,59.4,69.8
Gwalior Railway Station,Week,9:00-10:00,70,89.1
Gwalior Railway Station,Week,9:00-10:00,69.8,87.2
Gwalior Railway Station,Week,13:00-14:00,63.8,82.9
Gwalior Railway Station,Week,17:00-18:00,70.6,88.4
Gwalior Railway Station,Week,17:00-18:00,74.3,86.8
Gwalior Railway Station,Week,21:00-22:00,75.8,94.2
Gwalior Railway Station,Week,,73.2,90.9
Gwalior Railway Station,Weekend,9:00-10:00,67.3,82.7
Gwalior Railway Station,Weekend,9:00-10:00,68.7,87
Gwalior Railway Station,Weekend,13:00-14:00,74.3,96.9
Gwalior Railway Station,Weekend,13:00-14:00,72.3,85.7
Gwalior Railway Station,Weekend,17:00-18:00,78,89.2
Gwalior Railway Station,Weekend,17:00-18:00,76.8,82.4
Gwalior Railway Station,Weekend,21:00-22:00,80.9,103.4
Gwalior Railway Station,Weekend,,82.1,92.8
